County/Location,City/Town
Oxfordshire,Abingdon
Lancashire,Accrington
Norfolk,Acle
Greater London,Acton
Lancashire,Adlington
Warwickshire,Alcester
Suffolk,Aldeburgh
Hampshire,Aldershot
Lincolnshire,Alford
Derbyshire,Alfreton
Northumberland,Alnwick
Cheshire,Alsager
Cumbria,Alston
Hampshire,Alton
Greater Manchester,Altrincham
Northumberland,Amble
Cumbria,Ambleside
Buckinghamshire,Amersham
Wiltshire,Amesbury
Bedfordshire,Ampthill
Hampshire,Andover
Cumbria,Appleby-in-Westmorland
Bedfordshire,Arlesey
West Sussex,Arundel
Derbyshire,Ashbourne
Devon,Ashburton
Leicestershire,Ashby-de-la-Zouch
Leicestershire,Ashby Woulds
Kent,Ashford
Northumberland,Ashington
Greater Manchester,Ashton-under-Lyne
South Yorkshire,Askern
Cumbria,Aspatria
Warwickshire,Atherstone
Norfolk,Attleborough
Somerset,Axbridge
Devon,Axminster
Buckinghamshire,Aylesbury
Norfolk,Aylsham
Lancashire,Bacup
Derbyshire,Bakewell
Oxfordshire,Banbury
Greater London,Barking
Durham,Barnard Castle
Greater London,Barnes
Greater London,Barnet
Lancashire,Barnoldswick
South Yorkshire,Barnsley
Devon,Barnstaple
Cumbria,Barrow-in-Furness
Lincolnshire,Barton-upon-Humber
Hampshire,Basingstoke
West Yorkshire,Batley
East Sussex,Battle
South Yorkshire,Bawtry
Buckinghamshire,Beaconsfield
Dorset,Beaminster
