County/Location,City/Town
Oxfordshire,Abingdon
Lancashire,Accrington
Norfolk,Acle
Greater London,Acton
Lancashire,Adlington
Warwickshire,Alcester
Suffolk,Aldeburgh
Hampshire,Aldershot
Lincolnshire,Alford
Derbyshire,Alfreton
Northumberland,Alnwick
Cheshire,Alsager
Cumbria,Alston
Hampshire,Alton
Greater Manchester,Altrincham
Northumberland,Amble
Cumbria,Ambleside
Buckinghamshire,Amersham
Wiltshire,Amesbury
Bedfordshire,Ampthill
Hampshire,Andover
Cumbria,Appleby-in-Westmorland
Bedfordshire,Arlesey
West Sussex,Arundel
Derbyshire,Ashbourne
Devon,Ashburton
Leicestershire,Ashby-de-la-Zouch
Leicestershire,Ashby Woulds
Kent,Ashford
Northumberland,Ashington
Greater Manchester,Ashton-under-Lyne
South Yorkshire,Askern
Cumbria,Aspatria
Warwickshire,Atherstone
Norfolk,Attleborough
Somerset,Axbridge
Devon,Axminster
Buckinghamshire,Aylesbury
Norfolk,Aylsham
Lancashire,Bacup
Derbyshire,Bakewell
Oxfordshire,Banbury
Greater London,Barking
Durham,Barnard Castle
Greater London,Barnes
Greater London,Barnet
Lancashire,Barnoldswick
South Yorkshire,Barnsley
Devon,Barnstaple
Cumbria,Barrow-in-Furness
Lincolnshire,Barton-upon-Humber
Hampshire,Basingstoke
West Yorkshire,Batley
East Sussex,Battle
South Yorkshire,Bawtry
Buckinghamshire,Beaconsfield
Dorset,Beaminster
Merseyside,Bebington
Suffolk,Beccles
Greater London,Beckenham
North Yorkshire,Bedale
Bedfordshire,Bedford
Warwickshire,Bedworth
Derbyshire,Belper
North Yorkshire,Bentham
Gloucestershire,Berkeley
Hertfordshire,Berkhamsted
Northumberland,Berwick-upon-Tweed
East Riding of Yorkshire,Beverley
Worcestershire,Bewdley
East Sussex,Bexhill-on-Sea
Greater London,Bexley
Oxfordshire,Bicester
Staffordshire,Biddulph
Devon,Bideford
Bedfordshire,Biggleswade
Essex,Billericay
Durham,Billingham
West Midlands,Bilston
Nottinghamshire,Bingham
West Yorkshire,Bingley
Cheshire,Birchwood
Merseyside,Birkenhead
Durham,Bishop Auckland
Shropshire,Bishop's Castle
Hertfordshire,Bishop's Stortford
Hampshire,Bishop's Waltham
Lancashire,Blackburn
Lancashire,Blackpool
Greater Manchester,Blackrod
Hampshire,Blackwater and Hawley
Dorset,Blandford Forum
Buckinghamshire,Bletchley and Fenny Stratford
Northumberland,Blyth
Cornwall,Bodmin
West Sussex,Bognor Regis
Cheshire,Bollington
Derbyshire,Bolsover
Greater Manchester,Bolton
Merseyside,Bootle
North Yorkshire,Boroughbridge
Lincolnshire,Boston
Lincolnshire,Bottesford
Lincolnshire,Bourne
Dorset,Bournemouth
Devon,Bovey Tracey
Northamptonshire,Brackley
Wiltshire,Bradford-on-Avon
Isle of Wight,Brading
Gloucestershire,Bradley Stoke
Devon,Bradninch
Essex,Braintree
Cumbria,Brampton
Suffolk,Brandon
Greater London,Brentford
Essex,Brentwood
Shropshire,Bridgnorth
Somerset,Bridgwater
East Riding of Yorkshire,Bridlington
Dorset,Bridport
Lancashire,Brierfield
South Yorkshire,Brierley
Lincolnshire,Brigg
West Yorkshire,Brighouse
Essex,Brightlingsea
Devon,Brixham
Kent,Broadstairs and St Peter's
Merseyside,Bromborough
Greater London,Bromley
Worcestershire,Bromsgrove
Herefordshire,Bromyard and Winslow
Shropshire,Broseley
Lincolnshire,Broughton
Cumbria,Broughton-in-Furness
Somerset,Bruton
Devon,Buckfastleigh
Buckinghamshire,Buckingham
Cornwall,Bude-Stratton
Devon,Budleigh Salterton
Nottinghamshire,Bulwell
Suffolk,Bungay
Hertfordshire,Buntingford
Oxfordshire,Burford
West Sussex,Burgess Hill
Lincolnshire,Burgh-le-Marsh
Essex,Burnham-on-Crouch
Somerset,Burnham-on-Sea and Highbridge
Lancashire,Burnley
Staffordshire,Burntwood
Northamptonshire,Burton Latimer
Staffordshire,Burton upon Trent
Greater Manchester,Bury
Suffolk,Bury St Edmunds
Hertfordshire,Bushey
Derbyshire,Buxton
Lincolnshire,Caistor
Cornwall,Callington
Wiltshire,Calne
Cornwall,Camborne
Cornwall,Camelford
Staffordshire,Cannock
Essex,Canvey Island
Lancashire,Carnforth
Suffolk,Carlton Colville
Oxfordshire,Carterton
Somerset,Castle Cary
West Yorkshire,Castleford
Devon,Chagford
Derbyshire,Chapel-en-le-Frith
Somerset,Chard
Oxfordshire,Charlbury
Kent,Chatham
Cambridgeshire,Chatteris
Staffordshire,Cheadle
Essex,Chelmsford
Gloucestershire,Cheltenham
Surrey,Chertsey
Buckinghamshire,Chesham
Hertfordshire,Cheshunt
Derbyshire,Chesterfield
Durham,Chester-le-Street
Dorset,Chickerell
Greater London,Chingford
Wiltshire,Chippenham
Gloucestershire,Chipping Campden
Oxfordshire,Chipping Norton
Gloucestershire,Chipping Sodbury
Lancashire,Chorley
Hertfordshire,Chorleywood
Dorset,Christchurch
Devon,Chudleigh
Devon,Chulmleigh
Shropshire,Church Stretton
Gloucestershire,Cinderford
Gloucestershire,Cirencester
Suffolk,Clare
Derbyshire,Clay Cross
Cumbria,Cleator Moor
Lincolnshire,Cleethorpes
Shropshire,Cleobury Mortimer
Somerset,Clevedon
Lancashire,Clitheroe
Shropshire,Clun
Cumbria,Cockermouth
Essex,Coggeshall
North Yorkshire,Colburn
Essex,Colchester
Gloucestershire,Coleford
Warwickshire,Coleshill
Lancashire,Colne
Devon,Colyton
Cheshire,Congleton
South Yorkshire,Conisbrough
Northumberland,Corbridge
Northamptonshire,Corby
Essex,Corringham
Wiltshire,Corsham
Nottinghamshire,Cotgrave
Isle of Wight,Cowes
Northumberland,Cramlington
Kent,Cranbrook
Shropshire,Craven Arms
West Sussex,Crawley
Devon,Crediton
Cheshire,Crewe
Somerset,Crewkerne
Wiltshire,Cricklade
Norfolk,Cromer
Merseyside,Crosby
East Sussex,Crowborough
Greater London,Croydon
Lincolnshire,Crowland
Lincolnshire,Crowle
Devon,Cullompton
Greater London,Dagenham
Cumbria,Dalton Town with Newton
Derbyshire,Darley Dale
Durham,Darlington
Kent,Dartford
Devon,Dartmouth
Lancashire,Darwen
Northamptonshire,Daventry
Devon,Dawlish
Kent,Deal
Norfolk,Dereham
Northamptonshire,Desborough
Wiltshire,Devizes
West Yorkshire,Dewsbury
Oxfordshire,Didcot
South Yorkshire,Dinnington St John's
Norfolk,Diss
South Yorkshire,Doncaster
Dorset,Dorchester
Surrey,Dorking
Kent,Dover
Essex,Dovercourt
Norfolk,Downham Market
East Riding of Yorkshire,Driffield
Worcestershire,Droitwich Spa
Derbyshire,Dronfield
West Midlands,Dudley
Greater Manchester,Dukinfield
Somerset,Dulverton
Bedfordshire,Dunstable
Suffolk,Dunwich
Gloucestershire,Dursley
Greater London,Ealing
Leicestershire,Earl Shilton
Berkshire,Earley
North Yorkshire,Easingwold
Isle of Wight,East Cowes
West Sussex,East Grinstead
